x;y;label
4;-0.81426519;b
6;1.139066382;b
8;0.395753658;b
10;-0.898176418;b
12;-1.888816977;b
14;-1.545791486;b
16;-1.806857753;b
18;-2.175489734;b
20;-3.378753926;b
22;-3.408075364;b
24;-3.556866631;b
26;-3.515187827;b
28;-5.084486388;b
30;-5.141966104;b
32;-5.575538975;b
34;-5.19958794;b
36;-5.386899337;b
38;-6.20964705;b
40;-6.96710213;b
42;-6.661237596;b
44;-6.667869977;b
46;-7.95250775;b
48;-8.102416406;b
50;-6.876464336;b
52;-7.874698672;b
54;-8.857799342;b
56;-9.388558118;b
58;-7.26123295;b
60;-8.613953421;b
62;-8.703386825;b
64;-9.360216414;b
66;-9.441131662;b
68;-10.28569846;b
70;-9.603258123;b
72;-10.80012374;b
74;-10.09782477;b
76;-10.28516586;b
78;-10.2153645;b
80;-10.60179747;b
82;-10.14408285;b
84;-9.797754104;b
86;-9.286862975;b
88;-9.727075004;b
90;-9.286634493;b
92;-9.699669677;b
94;-9.032319052;b
96;-9.891862878;b
98;-9.723868436;b
100;-10.05080295;b
