x;y;label
1;0.81118273;d
2;0.846188104;d
3;0.68072638;d
4;0.491956393;d
5;0.348722292;d
6;0.187478685;d
7;0.027247015;d
8;-0.127730472;d
9;-0.296115785;d
10;-0.446392326;d
11;-0.620018401;d
12;-0.76663657;d
13;-0.944461401;d
14;-1.087484337;d
15;-1.269574151;d
16;-1.408356104;d
17;-1.594513772;d
18;-1.728816993;d
19;-1.91721774;d
20;-2.048449221;d
21;-2.238856585;d
22;-2.366771294;d
23;-2.558575937;d
24;-2.683172454;d
25;-2.875043038;d
26;-2.996850574;d
27;-3.186236826;d
28;-3.306753089;d
29;-3.489231681;d
30;-3.611531319;d
31;-3.770676498;d
32;-3.800331147;d
33;-3.893038481;d
34;-3.93533177;d
35;-4.017893245;d
36;-4.068216579;d
37;-4.144246323;d
38;-4.199665217;d
39;-4.271484349;d
40;-4.330127405;d
41;-4.39922488;d
42;-4.459898024;d
43;-4.527228129;d
44;-4.589169517;d
45;-4.655343526;d
46;-4.718067326;d
47;-4.783476717;d
48;-4.84667339;d
49;-4.911568937;d
50;-4.975041537;d
51;-5.039584009;d
52;-5.103207481;d
53;-5.167500112;d
54;-5.231195294;d
55;-5.29530455;d
56;-5.359021564;d
57;-5.422990432;d
58;-5.486698076;d
59;-5.550554552;d
60;-5.614233529;d
61;-5.677996038;d
62;-5.74163464;d
63;-5.805315499;d
64;-5.868906843;d
65;-5.932514471;d
66;-5.996054746;d
67;-6.059595068;d
68;-6.123082419;d
69;-6.186559766;d
70;-6.249993566;d
71;-6.313411255;d
72;-6.376791666;d
73;-6.440152342;d
74;-6.503480004;d
75;-6.566785928;d
76;-6.630061776;d
77;-6.693314882;d
78;-6.756540063;d
79;-6.819742091;d
80;-6.882917886;d
81;-6.946070517;d
82;-7.009198168;d
83;-7.072302959;d
84;-7.135383816;d
85;-7.198442246;d
86;-7.26147772;d
87;-7.324491181;d
88;-7.387482558;d
89;-7.450452467;d
90;-7.513401084;d
91;-7.576328992;d
92;-7.639236075;d
93;-7.702123015;d
94;-7.764990139;d
95;-7.827837543;d
96;-7.890665459;d
97;-7.953474765;d
98;-8.016265351;d
99;-8.079037265;d
100;-8.141791425;d
101;-8.204527843;d
102;-8.267246647;d
103;-8.329948087;d
104;-8.392632981;d
105;-8.455300686;d
106;-8.517952929;d
107;-8.580588451;d
108;-8.643208205;d
109;-8.70581261;d
110;-8.768402883;d
111;-8.830977546;d
112;-8.893537368;d
113;-8.956080599;d
114;-9.018612778;d
115;-9.081127534;d
116;-9.14363393;d
117;-9.206121722;d
118;-9.268597915;d
119;-9.331064238;d
120;-9.393514052;d
121;-9.455948613;d
122;-9.518380048;d
123;-9.580793268;d
124;-9.643190885;d
125;-9.705580276;d
126;-9.767962854;d
127;-9.830319194;d
128;-9.892683325;d
129;-9.955029537;d
130;-10.01736116;d
131;-10.07968595;d
132;-10.14197589;d
133;-10.2042652;d
134;-10.26658916;d
135;-10.32886744;d
136;-10.39113292;d
137;-10.45342554;d
138;-10.51566457;d
139;-10.57801003;d
140;-10.64018912;d
141;-10.70241879;d
142;-10.76448311;d
143;-10.82683939;d
144;-10.88887404;d
145;-10.95100166;d
146;-11.01335734;d
147;-11.07548399;d
148;-11.13769321;d
149;-11.20002473;d
150;-11.26228651;d
151;-11.32394296;d
152;-11.38595638;d
153;-11.44811925;d
154;-11.51087242;d
155;-11.57221568;d
156;-11.63485316;d
157;-11.69682989;d
158;-11.75909731;d
159;-11.8198802;d
160;-11.88332811;d
161;-11.94359926;d
162;-12.00779094;d
163;-12.06886648;d
164;-12.13080262;d
165;-12.19032219;d
166;-12.25202146;d
167;-12.31605129;d
168;-12.3805126;d
169;-12.44001532;d
170;-12.49913536;d
171;-12.56792037;d
172;-12.62490575;d
173;-12.67990996;d
174;-12.75042626;d
175;-12.81387671;d
176;-12.86643115;d
177;-12.90465576;d
178;-12.98669232;d
179;-13.03791116;d
180;-13.09239713;d
181;-13.13909497;d
182;-13.21693597;d
183;-13.27931257;d
184;-13.34467314;d
185;-13.39298167;d
186;-13.41912672;d
187;-13.47644904;d
188;-13.55874773;d
189;-13.58499156;d
190;-13.59528541;d
191;-13.68419733;d
192;-13.58072441;d
193;-13.83887389;d
194;-13.77860032;d
195;-13.83939001;d
196;-13.95926602;d
197;-13.76217962;d
198;-13.85447498;d
199;-13.78598544;d
200;-13.62523834;d
201;-14.03364033;d
202;-13.64066211;d
203;-14.03364033;d
204;-13.47751301;d
205;-13.78635365;d
206;-13.62230257;d
207;-14.03364033;d
208;-13.66026067;d
209;-13.96830178;d
210;-13.66812929;d
211;-13.78598544;d
212;-13.67441972;d
213;-13.89824853;d
214;-13.83853662;d
215;-13.88275455;d
216;-13.90042567;d
217;-13.89290797;d
218;-13.86463443;d
219;-13.65010624;d
220;-13.88102611;d
221;-13.89858383;d
222;-13.86967543;d
223;-14.05768776;d
224;-13.88275455;d
225;-14.04929435;d
226;-13.87136731;d
227;-13.92212691;d
228;-13.88275455;d
229;-14.02496056;d
230;-13.87136731;d
231;-14.05166286;d
232;-13.90814176;d
233;-14.02496056;d
234;-13.87136731;d
235;-14.05166286;d
236;-13.88275455;d
237;-14.04929435;d
238;-13.87136731;d
239;-13.89568079;d
240;-13.88275455;d
241;-14.02496056;d
242;-13.87136731;d
243;-13.96636893;d
244;-13.88275455;d
245;-13.70617336;d
246;-13.89479173;d
247;-13.97231854;d
248;-13.88275455;d
249;-14.02496056;d
250;-13.87136731;d
